strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,151,c148dev_redandblack_fiber_optic_u20_MD2G_COMPONENT_s151,0.5091834507811176,0.46499998185533536,0.9473684210526316,0.04439095730160957,0.95,800595920,15211322480,5.103382301330567,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,151,c148dev_redandblack_fiber_optic_u20_HV3_COMPONENT_s151,0.6625428490828175,0.7274999924210743,0.9490024653590617,0.07471841806395012,0.9833333333333333,824698935,16171349082,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,151,c148dev_redandblack_fiber_optic_u20_CLUSTERING_COMPONENT_s151,0.6949950783516317,0.7874998768174105,0.9465775741401596,0.0943282751590299,0.9571428571428572,1117242408,20913359699,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,152,c148dev_redandblack_fiber_optic_u20_MD2G_COMPONENT_s152,0.5120831471862486,0.4699999826062674,0.9470181139951888,0.04447580584206043,0.925,799621377,15092353959,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,152,c148dev_redandblack_fiber_optic_u20_HV3_COMPONENT_s152,0.6044353363746644,0.6324999927390611,0.9448195752056383,0.07513035380121247,0.9166666666666666,815227272,14773849151,5.109253704547882,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,152,c148dev_redandblack_fiber_optic_u20_CLUSTERING_COMPONENT_s152,0.6854407768899073,0.7712498920343773,0.9468275531962603,0.09344031086522714,0.9428571428571428,1062746140,19986782702,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,153,c148dev_redandblack_fiber_optic_u20_MD2G_COMPONENT_s153,0.530803831798093,0.49999997997823714,0.95,0.04464104125899509,1.0,803449788,16068995760,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,153,c148dev_redandblack_fiber_optic_u20_HV3_COMPONENT_s153,0.6762714041341953,0.7499999921538446,0.95,0.07485727438740984,1.0,818246275,16364925500,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,20,153,c148dev_redandblack_fiber_optic_u20_CLUSTERING_COMPONENT_s153,0.6444790998333585,0.7049999070348715,0.9421650485527535,0.09374737683835113,0.9,1109603786,19185695816,5.1266916513442995,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,151,c148dev_redandblack_fiber_optic_u60_MD2G_COMPONENT_s151,0.7928800814255318,0.939583318305902,0.983122327192312,0.11100327570724905,0.96,399057693,23644118330,0.0,,False,120,command148_canary_metrics.cell_metrics
