timestamp,headQuat,headEuler,headForw,headLatLon,headTilt,headUV
1.13797,"(-0.18367650,0.4429516,-0.04936735, -0.87613910)","(21.44371000,305.4704, 355.30320000)","(-0.75803920,-0.3655869, 0.54011370)","(-21.44371000, -54.52959000)",-4.370988,"(0.34991930, 0.61619280)"
1.146554,"(-0.18482420,0.4462844,-0.04988821, -0.87417470)","(21.57174000,304.9954, 355.20430000)","(-0.76182000,-0.3676659, 0.53334050)","(-21.57174000, -55.00463000)",-4.459004,"(0.34841720, 0.61687930)"
1.161502,"(-0.18589580,0.4494835,-0.05041489, -0.87227610)","(21.69257000,304.539, 355.11270000)","(-0.76540370,-0.3696263, 0.52681460)","(-21.69257000, -55.46101000)",-4.540449,"(0.34698460, 0.61754010)"
1.172485,"(-0.18695840,0.4526407,-0.05100166, -0.87038030)","(21.81560000,304.0879, 355.02760000)","(-0.76886860,-0.3716206, 0.52032600)","(-21.81560000, -55.91212000)",-4.615455,"(0.34562010, 0.61820510)"
1.186481,"(-0.18768160,0.4557371,-0.05159752, -0.86857180)","(21.90445000,303.6532, 354.96460000)","(-0.77231290,-0.3730598, 0.51415870)","(-21.90445000, -56.34676000)",-4.671015,"(0.34431880, 0.61867570)"
1.20017,"(-0.18842240,0.4588962,-0.0522983, -0.86670420)","(22.00034000,303.2097, 354.90880000)","(-0.77574620,-0.374612, 0.50782260)","(-22.00034000, -56.79025000)",-4.719537,"(0.34298780, 0.61917200)"
1.212949,"(-0.18902990,0.4621117,-0.05301657, -0.86481770)","(22.08316000,302.7612, 354.86070000)","(-0.77924130,-0.375952, 0.50144100)","(-22.08316000, -57.23876000)",-4.761356,"(0.34165980, 0.61960910)"
1.226218,"(-0.18960910,0.4652599,-0.05376378, -0.86295490)","(22.16508000,302.3219, 354.81810000)","(-0.78260840,-0.3772765, 0.49516320)","(-22.16508000, -57.67811000)",-4.797997,"(0.34036120, 0.62006140)"
1.240384,"(-0.19023750,0.4685196,-0.05450796, -0.86100410)","(22.25112000,301.8643, 354.76810000)","(-0.78605560,-0.3786667, 0.48859820)","(-22.25112000, -58.13565000)",-4.841327,"(0.33900450, 0.62054550)"
1.252648,"(-0.19081750,0.4718437,-0.05519724, -0.85901420)","(22.32865000,301.3971, 354.71260000)","(-0.78957580,-0.3799188, 0.48190430)","(-22.32865000, -58.60290000)",-4.889884,"(0.33760300, 0.62097330)"
1.266158,"(-0.19142770,0.4753385,-0.05603207, -0.85689510)","(22.41642000,300.9059, 354.66460000)","(-0.79317830,-0.3813353, 0.47481750)","(-22.41642000, -59.09414000)",-4.931137,"(0.33612390, 0.62143830)"
1.279734,"(-0.19192630,0.479049,-0.05688063, -0.85465840)","(22.49234000,300.3865, 354.61820000)","(-0.79701270,-0.38256, 0.46735270)","(-22.49234000, -59.61347000)",-4.971299,"(0.33459870, 0.62184050)"
1.297982,"(-0.19230030,0.482994,-0.05782981, -0.85228700)","(22.56015000,299.838, 354.58270000)","(-0.80105760,-0.3836531, 0.45947480)","(-22.56015000, -60.16206000)",-5.00167,"(0.33302990, 0.62220860)"
1.30639,"(-0.19265930,0.4870395,-0.05866775, -0.84984300)","(22.61936000,299.2723, 354.53270000)","(-0.80520840,-0.3846073, 0.45134990)","(-22.61936000, -60.72771000)",-5.045623,"(0.33140000, 0.62254610)"
1.320207,"(-0.19310650,0.4910611,-0.05963933, -0.84735590)","(22.69546000,298.707, 354.49010000)","(-0.80917350,-0.3858329, 0.44313790)","(-22.69546000, -61.29301000)",-5.082108,"(0.32974150, 0.62292990)"
1.332779,"(-0.19340020,0.495059,-0.06036144, -0.84490790)","(22.74159000,298.1445, 354.43170000)","(-0.81321080,-0.3865757, 0.43502580)","(-22.74160000, -61.85552000)",-5.134234,"(0.32807400, 0.62316080)"
1.346278,"(-0.19380000,0.498878,-0.06108851, -0.84251440)","(22.79965000,297.602, 354.37060000)","(-0.81694600,-0.38751, 0.42712460)","(-22.79965000, -62.39804000)",-5.188256,"(0.32645960, 0.62347330)"
