block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
longdress_wifi_u20_s152,longdress,wifi,20,152,0.5294484946891522,0.4999999614377176,0.95,0.05367654782318865,0.4999999614377176,RULE_COMPONENT,0.6889901638631359,-0.1595416691739837,0.3738860619637381
longdress_wifi_u20_s153,longdress,wifi,20,153,0.5230577527281249,0.48999996372642907,0.9490442418886963,0.05468857319937752,0.3000000072119473,RULE_COMPONENT,0.6817436388099807,-0.15868588608185574,0.38735009209632093
longdress_wifi_u60_s151,longdress,wifi,60,151,0.7782870873063876,0.9137499876255188,0.9829576513161756,0.10468212065311713,0.3000000072119473,RULE_COMPONENT,0.6771770234154134,0.10111006389097421,0.1497235401467435
longdress_wifi_u60_s152,longdress,wifi,60,152,0.7519576955567897,0.8695833107222254,0.9826475069446015,0.10302778408463913,0.3000000072119473,RULE_COMPONENT,0.6667647365310745,0.08519295902571522,0.14497992595286435
longdress_wifi_u60_s153,longdress,wifi,60,153,0.7407518433207932,0.8549999065266667,0.9817369121264654,0.11788219084548793,0.0,CLUSTERING_COMPONENT,0.695812077398163,0.04493976592263027,0.1423865815239379
redandblack_4g_u100_s151,redandblack,4g,100,151,0.7533760430955636,0.8674999628234351,0.9893398451325056,0.09639263921082539,0.0,CLUSTERING_COMPONENT,0.6426230616154872,0.1107529814800764,0.12056708816029016
redandblack_4g_u100_s152,redandblack,4g,100,152,0.7682072394549289,0.8894999744185896,0.9896281994821378,0.08599863377839577,0.42499971067930387,CLUSTERING_COMPONENT,0.6368651052878268,0.13134213416710205,0.11114062151905767
redandblack_4g_u100_s153,redandblack,4g,100,153,0.7557486921621411,0.8689999692153074,0.9891715512682799,0.08629451456075576,0.29999999749843875,CLUSTERING_COMPONENT,0.6292901124297113,0.1264585797324298,0.14476952942413268
redandblack_4g_u20_s151,redandblack,4g,20,151,0.4585778657807736,0.3799999904903581,0.9491144938770527,0.044671679884696266,0.29999999749843875,RULE_COMPONENT,0.6085669961905077,-0.1499891304097341,0.34837467335971145
redandblack_4g_u20_s152,redandblack,4g,20,152,0.4887333961900485,0.4299999861103077,0.9497240600599993,0.04465073660757293,0.29999999749843875,CLUSTERING_COMPONENT,0.5485457368066495,-0.05981234061660101,0.3780686223195198
redandblack_4g_u20_s153,redandblack,4g,20,153,0.4707075036251964,0.399999988738338,0.949262926005695,0.0440548074615338,0.29999999749843875,CLUSTERING_COMPONENT,0.5891449896368349,-0.1184374860116385,0.3378007283595426
redandblack_4g_u60_s151,redandblack,4g,60,151,0.7269893437505931,0.8304166395308886,0.9823342590285906,0.11229469816725161,0.29999999749843875,RULE_COMPONENT,0.6602470267092484,0.0667423170413447,0.14618576359238206
redandblack_4g_u60_s152,redandblack,4g,60,152,0.7400571404381421,0.8520833072020166,0.9825378907247144,0.11218211042830957,0.29999999749843875,CLUSTERING_COMPONENT,0.6469619117144441,0.09309522872369802,0.14470670298990246
redandblack_4g_u60_s153,redandblack,4g,60,153,0.7448764879159036,0.8583332832418104,0.9821921965536575,0.104476874450647,0.29999999749843875,CLUSTERING_COMPONENT,0.6698146565167539,0.07506183139914968,0.12906271162229266
redandblack_5g_dominant_u100_s151,redandblack,5g_dominant,100,151,0.809654960645662,0.9552499728828858,0.989773420715246,0.0729225217525392,0.5500000053445943,CLUSTERING_COMPONENT,0.6706586929696347,0.13899626767602735,0.14579016653774027
redandblack_5g_dominant_u100_s152,redandblack,5g_dominant,100,152,0.7679202010604318,0.8842499659209075,0.9893892770163321,0.06651398497463776,0.42499971067930387,CLUSTERING_COMPONENT,0.6650173044422675,0.10290289661816432,0.14602796261414766
redandblack_5g_dominant_u100_s153,redandblack,5g_dominant,100,153,0.7903965933828716,0.9227499438053426,0.9894524039819879,0.07077649263887223,0.5500000053445943,CLUSTERING_COMPONENT,0.651801635750915,0.13859495763195662,0.11516755411855752
redandblack_5g_dominant_u20_s151,redandblack,5g_dominant,20,151,0.802995674267165,0.9712499855339652,0.9488479629175524,0.11310871855068154,0.5500000053445943,RULE_COMPONENT,0.7239471406718615,0.0790485335953035,0.4077401853148808
redandblack_5g_dominant_u20_s152,redandblack,5g_dominant,20,152,0.5246506403296666,0.48999998085424723,0.9490401654906596,0.044062597036977784,0.29999999749843875,RULE_COMPONENT,0.6633292959037881,-0.1386786555741215,0.3758999868310542
redandblack_5g_dominant_u20_s153,redandblack,5g_dominant,20,153,0.7891711020142371,0.948749985801195,0.9474770518228403,0.11298768281459928,0.5500000053445943,RULE_COMPONENT,0.6920444734239106,0.0971266285903265,0.34545505938589793
redandblack_5g_dominant_u60_s151,redandblack,5g_dominant,60,151,0.7407056496436296,0.8520833175608158,0.9824172887478582,0.10765775386549557,0.0,CLUSTERING_COMPONENT,0.6824802472945284,0.05822540234910123,0.1607751031924648
redandblack_5g_dominant_u60_s152,redandblack,5g_dominant,60,152,0.7686686616591034,0.8974999889299526,0.9828587035702281,0.10364005060950113,0.29999999749843875,RULE_COMPONENT,0.6877385627446754,0.08093009891442804,0.14874553379726363
