strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,152,0.6994568235196914,0.6854407768899073,0.7712498920343773,0.9468275531962603,0.09344031086522714,0.7712498920343773,70.84974266666667,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,152,0.42749994134336966,0.3577610511259939,0.7124999022389494,0.0,0.46492593478250543,0.7124999022389494,459.6266886,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,153,0.5374999879869422,0.530803831798093,0.49999997997823714,0.95,0.04464104125899509,0.49999997997823714,53.5633192,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,153,0.6874999952923068,0.6762714041341953,0.7499999921538446,0.95,0.07485727438740984,0.7499999921538446,54.549751666666666,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,153,0.6585412063591112,0.6444790998333585,0.7049999070348715,0.9421650485527535,0.09374737683835113,0.7049999070348715,73.97358573333334,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,153,0.44774993410043923,0.3750256327329388,0.7462498901673987,0.0,0.4848286757833362,0.7462498901673987,471.3918934,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,151,0.8095305727816191,0.7928800814255318,0.939583318305902,0.983122327192312,0.11100327570724905,0.939583318305902,26.6038462,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,151,0.5840364058408537,0.5776188736827716,0.5641666529503899,0.982145656282479,0.04278354772054728,0.5641666529503899,34.112415133333336,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,151,0.6915271014996579,0.6773501719562475,0.7433331916530042,0.9821087460314217,0.09451286362273605,0.7433331916530042,24.4622682,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,151,0.21224998910165344,0.14236940092178912,0.3537499818360891,0.0,0.4658705878657622,0.3537499818360891,222.3696308,,
